Title,Price,Original Price,Discount,Image URLs,Variants,Sizes,Description,Product Link
Summer Sweats | Blood Red,"1,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-red-1673.webp,Blood Red,S;M;L;XL;XXL,"Stay cool and dry in our breathable Lycra cotton terry fabric, perfect for hot summer days.;Versatile for lounging, workouts, or daily outings, our sweats effortlessly suits any occasion.;Sweats are built tough for lasting wear, wash after wash.;Sleek and modern, our sweats effortlessly elevate your summer style. Pair with joggers, trousers, or jeans for a laid-back, fashionable look.;5 Sizes Available;S - M - L - XL - XXL;Color : Blood Red;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/summer-sweats-or-blood-red
Zipped Sweater | Dusty Pink,"2,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-75-2191.webp,Dusty Pink,M;L;XL,"Sweater fleece material for ultimate style and comfort.;Versatile for any occasion.;Flattering, & comfortable.;Functional quarter-zip.;Durable quality for seasons of wear.;3 Sizes Available,M - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-sweater-or-pink
Light Wt Polo T-Shirt | Black,"1,000","1,100",9% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-76-7113.webp,Black,S;M;L;XL;XXL,Micro Pique Polyester;High Quality Polo Shirts;Half Sleeves T-shirt;Lint Proof;5 Sizes Available S - M - L - XL - XXL;Color : Black;Hand Wash is preferred;Home Delivery All Over Nepal |Cash On Delivery,https://tntstore.online/product/light-wt-polo-t-shirt-or-black
Light Wt Polo T-Shirt | Mint,"1,000","1,100",9% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-72-9418.webp,Mint,S;M;L;XL;XXL,Micro Pique Polyester;High Quality Polo Shirts;Half Sleeves T-shirt;Lint Proof;Sizes Available S - M - L - XL - XXL;Color : Mint;Hand Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/light-wt-polo-t-shirt-or-mint
Winter Sweats | Maroon | Regular fit,"2,200","2,400",8% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-8-1713.webp,Maroon,L;XL;XXL,"Fabric: Velvet Fleece, Fleece inside;Available in Regular Fit;Perfect for layering;Keeps warm at all times;Bold printed logo;Sizes: M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/winter-sweats-or-maroon-or-regular-fit
Plain Hoodie | Grey,"2,800","3,000",7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-42-8663.webp,Grey,M;L;XL,"Velvet fleece fabric,;350 GSM fabric,;Double layered hood,;Kangaroo pockets,;DTF Logo in the front,;Durable quality for seasons of wear,;3 Sizes available,;M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/plain-hoodie-or-grey
Zipped Sweaters | Off White,"2,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-78-9069.webp,Off White,M;L;XL,"Sweater fleece material for ultimate style and comfort.;Versatile for any occasion.;Flattering, & comfortable.;Functional quarter-zip.;Durable quality for seasons of wear.;3 Sizes Available,M - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-sweaters-or-off-white
Jacquard Shirt | Black,"1,700",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-133-3047.webp,Black,M;L;XL;XXL,"Premium 290 GSM cotton Jacquard;Revered Collars;Tonal Buttons;Relaxed fit and soft material;Casual Unisex wear;Available in 4 sizes;M, L, XL & XXL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/jacquard-shirt-or-black
Regular Blank T-shirt  | Maroon,850,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-117-1519.webp,Maroon,M;L;XL;XXL,Bio-washed High Quality Cotton T-Shirt ( 200 GSM );Half Sleeves T-shirt;Round Neck with Lycra Rib;Anti Color Fade;Lint Proof;6 Sizes AvailableXS - S- M - L - XL - XXL;Color : Maroon;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/regular-blank-t-shirt-or-maroon
Cargo pant | Beige,"2,600","2,800",7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-26-6560.webp,Beige,29;30;31;32;34;36,"Slim fit,;Cotton Twill fabric;Features a sleek logo,;Adjustable Waist,;Innovative design to keeps your look smooth, even when seated,;Sizes 29 - 36;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/cargo-pant-or-beige
Jacquard Shirt | Sand Beige,"1,700",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-135-1-9784.webp,Sand Beige,M;L;XL;XXL,"Premium 290 GSM cotton Jacquard;Revered Collars;Tonal Buttons;Relaxed fit and soft material;Casual Unisex wear;Available in 4 sizes;M, L, XL & XXL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/jacquard-shirt-or-sand-beige
Sport T-shirt | Sleeveless | Grey,800,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-153-6082.webp,Grey,S;M;L;XL;XXL,"Stay cool, dry, and comfortable with our Sleeveless sport T-shirt.;Stay fresh with moisture-wicking fabric.;Move freely with breathable, stretchy material.;5 Sizes Available;S - M - L - XL- XXL;Color : Grey;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal |Cash On Delivery",https://tntstore.online/product/sport-t-shirt-or-sleeveless-or-off-white
Zipped Hoodie | Black,"2,600",N/A,7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-68-8681.webp,Black,M;L;XL,"Luxurious anti pilling fabric for unbeatable comfort.;Versatile fashion for any occasion.;Flattering, comfortable fit.;Functional quarter-zip design.;Hood design.;Durable quality for seasons of wear.;3 Sizes AvailableM - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-hoodie-or-black
Light Wt Polo T-Shirt | Coastal blue,"1,000","1,100",9% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-polo-tshirt-munsell-blue-the-northern-trail-7162.webp,Coastal Blue,M;L;XL;XXL,Micro Pique Polyester;High Quality Polo Shirts;Half Sleeves T-shirt;Lint Proof;Sizes Available M - L - XL - XXL;Color : Coastal Blue;Hand Wash is preferred;Home Delivery All Over Nepal |Cash On Delivery,https://tntstore.online/product/light-wt-polo-t-shirt-or-munsell-blue
Tank Top | Ultra-cool | Grey,750,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-tank-top-grey-the-northern-trail-3014.webp,Grey,M;L;XL,Luxurious Tencel fabric For Unbeatable Comfort.;Versatile Fashion For Any Occasion.;Sleeveless and Comfortable Fit.;Durable Quality for Seasons of Wear.;3 Sizes AvailableM - L - XL.;Color: Grey;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/tank-top-or-ultra-cool-or-grey
Winter Sweats | Navy Blue,"2,200","2,400",8% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-navy-1704.webp,Navy,M;L;XL,"Fabric: Velvet Fleece, Fleece inside;Fits Oversized;Perfect for layering;Keeps warm at all times;Bold printed logo;Sizes: M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/winter-sweats-or-navy-blue
Regular Blank T-shirt  | Navy Blue,850,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-110-7419.webp,Navy Blue,M;L;XL;XXL,Bio-washed High Quality Cotton T-Shirt ( 200 GSM );Half Sleeves T-shirt;Round Neck with Lycra Rib;Anti Color Fade;Lint Proof;6 Sizes AvailableXS - S - M - L - XL - XXL;Color : Navy Blue;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/regular-blank-t-shirt-or-navy-blue
Light Wt Polo T-Shirt | Navy Blue,"1,000","1,100",9% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-polo-tshirt-navy-blue-the-northern-trail-5348.webp,Navy Blue,M;L;XL;XXL,Micro Pique Polyester;High Quality Polo Shirts;Half Sleeves T-shirt;Lint Proof;Sizes Available M - L - XL - XXL;Color : Navy Blue;Hand Wash is preferred;Home Delivery All Over Nepal |Cash On Delivery,https://tntstore.online/product/light-wt-polo-t-shirt-or-navy-blue
Regular Blank T-shirt  | Army Green,850,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-108-2308.webp,Army Green,M;L;XL;XXL,Bio-washed High Quality Cotton T-Shirt ( 200 GSM );Half Sleeves T-shirt;Round Neck with Lycra Rib;Anti Color Fade;Lint Proof;6 Sizes AvailableXS - S - M - L - XL - XXL;Color : Army Green;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery,https://tntstore.online/product/regular-blank-t-shirt-or-army-green
Summer Sweats | White,"1,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-white-1855.webp,White,S;M;L;XL;XXL,"Stay cool and dry in our breathable Lycra cotton terry fabric, perfect for hot summer days.;Versatile for lounging, workouts, or daily outings, our sweats effortlessly suits any occasion.;Sweats are built tough for lasting wear, wash after wash.;Sleek and modern, our sweats effortlessly elevate your summer style. Pair with joggers, trousers, or jeans for a laid-back, fashionable look.;5 Sizes Available;S - M - L - XL - XXL;Color : White;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/summer-sweats-or-white
Cardigan | Blue,"2,500",N/A,4% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-48-2127.webp,Blue,S;M;L;XL,"Premium Waffle Fabric;Unisex Outerwear;Sewn on Patch pocket;Color Matching Buttons;Relaxed fit and soft material, suitable for casual or semi-formal wear;Available in 3 sizes;S, M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Deliver",https://tntstore.online/product/cardigan-or-blue
Zipped Hoodie | White,"2,600",N/A,7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-70-0172.webp,White,M;L;XL,"Luxurious anti pilling fabric for unbeatable comfort.;Versatile fashion for any occasion.;Flattering, comfortable fit.;Functional quarter-zip design.;Hood design.;Durable quality for seasons of wear.;3 Sizes AvailableM - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-hoodie-or-white
Summer Sweats | Baby Pink,"1,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-baby-pink-5417.webp,Baby Pink,S;M;L;XL;XXL,"Stay cool and dry in our breathable Lycra cotton terry fabric, perfect for hot summer days.;Versatile for lounging, workouts, or daily outings, our sweats effortlessly suits any occasion.;Sweats are built tough for lasting wear, wash after wash.;Sleek and modern, our sweats effortlessly elevate your summer style. Pair with joggers, trousers, or jeans for a laid-back, fashionable look.;5 Sizes Available;S - M - L - XL - XXL;Color : Baby Pink;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/summer-sweats-or-baby-pink
Sport T-shirt | Sleeveless | Coastal Blue,800,N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-154-8031.webp,Coastal Blue,S;M;L;XL;XXL,"Stay cool, dry, and comfortable with our Sleeveless sport T-shirt.;Stay fresh with moisture-wicking fabric.;Move freely with breathable, stretchy material.;5 Sizes Available;S - M - L - XL- XXL;Color : Coastal Blue;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal |Cash On Delivery",https://tntstore.online/product/sport-t-shirt-or-sleeveless-or-coastal-blue
Jacquard Shirt | White,"1,700",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-132-6935.webp,White,M;L;XL;XXL,"Premium 290 GSM cotton Jacquard;Revered Collars;Tonal Buttons;Relaxed fit and soft material;Casual Unisex wear;Available in 4 sizes;M, L, XL & XXL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/jacquard-shirt-or-white
Oversized T-shirt | Ultra-cool | Dusty Pink,"1,000",N/A,N/A,https://cdn2.blanxer.com/bulk/65faa86cdc9b7600587d6a32/ultracool_edition_or_the_northern_trail/65fbd7fbdc9b76005880969a.webp,Dusty Pink,M;L;XL,"Luxurious Tencel fabric For Unbeatable Comfort.;Versatile Fashion For Any Occasion.;Round Neck, Oversize and Comfortable Fit.;Durable Quality For Seasons of Wear.;3 Sizes AvailableM - L - XL.;Color: Dusty Pink;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/oversized-t-shirt-or-ultra-cool-or-dusty-pink-tov
Zipped Hoodie | Beige,"2,600",N/A,7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-71-4277.webp,Beige,M;L;XL,"Luxurious anti pilling fabric for unbeatable comfort.;Versatile fashion for any occasion.;Flattering, comfortable fit.;Functional quarter-zip design.;Hood design.;Durable quality for seasons of wear.;3 Sizes AvailableM - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-hoodie-or-beige
Winter Sweats | Blue,"2,200","2,400",8% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-36-7125.webp,Blue,M;L;XL,"Fabric: Velvet Fleece, Fleece inside;Fits Oversized;Perfect for layering;Keeps warm at all times;Bold printed logo;Sizes: M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/winter-sweats-or-blue
Summer Sweats | Dark Grey,"1,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-pastal-blue-8759.webp,Dark Grey,S;M;L;XL;XXL,"Stay cool and dry in our breathable Lycra cotton terry fabric, perfect for hot summer days.;Versatile for lounging, workouts, or daily outings, our sweats effortlessly suits any occasion.;Sweats are built tough for lasting wear, wash after wash.;Sleek and modern, our sweats effortlessly elevate your summer style. Pair with joggers, trousers, or jeans for a laid-back, fashionable look.;5 Sizes Available;S - M - L - XL - XXL;Color : Dark Grey;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/summer-sweats-or-dark-grey
Oversized T-shirt | Ultra-cool | Brown,"1,000",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-brown-2729.webp,Brown,M;L;XL,"Luxurious Tencel fabric For Unbeatable Comfort.;Versatile Fashion For Any Occasion.;Round Neck, Oversize and Comfortable Fit.;Durable Quality For Seasons of Wear.;3 Sizes AvailableM - L - XL.;Color: Brown;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/oversized-t-shirt-or-ultra-cool-or-brown
Plain Hoodie | Beige,"2,800",N/A,7% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-44-8168.webp,Beige,M;L;XL,"Velvet fleece fabric,;350 GSM fabric,;Double layered hood,;Kangaroo pockets,;DTF Logo in the front,;Durable quality for seasons of wear,;3 Sizes available,;M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/plain-hoodie-or-beige
Zipped Sweater | Sand Beige,"2,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-79-5143.webp,Sand Beige,M;L;XL,"Sweater fleece material for ultimate style and comfort.;Versatile for any occasion.;Flattering, & comfortable.;Functional quarter-zip.;Durable quality for seasons of wear.;3 Sizes Available,M - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-sweater-or-sand-beige
Cardigan | Black,"2,500",N/A,4% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-46-5136.webp,Black,S;M;L;XL,"Premium Waffle Fabric;Unisex Outerwear;Sewn on Patch pocket;Color Matching Buttons;Relaxed fit and soft material, suitable for casual or semi-formal wear;Available in 4 sizes;S, M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Deliver",https://tntstore.online/product/cardigan-or-black
Cardigan | Beige,"2,500",N/A,4% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-43-2058.webp,Beige,S;M;L;XL,"Premium Waffle Fabric;Unisex Outerwear;Sewn on Patch pocket;Color Matching Buttons;Relaxed fit and soft material, suitable for casual or semi-formal wear;Available in 4 sizes;S, M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Deliver",https://tntstore.online/product/cardigan-or-beige
Oversized T-shirt | Ultra-cool | Grey,"1,000",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-grey-9133.webp,Grey,M;L;XL,"Luxurious Tencel fabric For Unbeatable Comfort.;Versatile Fashion For Any Occasion.;Round Neck, Oversize and Comfortable Fit.;Durable Quality For Seasons of Wear.;3 Sizes AvailableM - L - XL.;Color: Grey;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/oversized-t-shirt-or-ultra-cool-or-grey
Summer Shorts | Black,"1,400",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-111-0408.webp,Black,M;L;XL,"Breathable and soft material keeps you cool in summer heat.;Perfect for various activities like lounging, running errands, or casual outings.;Adjustable drawstring for a customized and comfortable fit.;Timeless mid-thigh length design for a relaxed and casual look.;3 Sizes Available;M - L - XL;Color : Black;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/summer-shorts-or-black
Zipped Sweater | Black,"2,500",N/A,N/A,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-76-4602.webp,Black,M;L;XL,"Sweater fleece material for ultimate style and comfort.;Versatile for any occasion.;Flattering, & comfortable.;Functional quarter-zip.;Durable quality for seasons of wear.;3 Sizes Available,M - L - XL.;Dip-wash or Machine Wash is preferred.;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/zipped-sweaters-or-black
Winter Sweats | Black | Regular fit,"2,200","2,400",8% off,https://cdn2.blanxer.com/uploads/65faa86cdc9b7600587d6a32/product_image-7-1391.webp,Black,L;XL;XXL,"Fabric: Velvet Fleece, Fleece inside;Available in Regular Fit;Perfect for layering;Keeps warm at all times;Bold printed logo;Sizes: M, L & XL;Dip-wash or Machine Wash is preferred;Home Delivery All Over Nepal | Cash On Delivery",https://tntstore.online/product/winter-sweats-or-black-or-regular-fit
